Address,Case Number,Crime Against,Measure Names,Neighborhood,Occur Date,Occur Time,Offense Category,Offense Type,Offense Count
2700 BLOCK OF SW 2ND AVE,15-150231,Property,No Measure Value,South Portland,05/06/15,2300,Larceny Offenses,Theft From Motor Vehicle,1
5000 BLOCK OF SW SLAVIN RD,15-154080,Property,No Measure Value,South Portland,04/10/15,1000,Larceny Offenses,All Other Larceny,1
SW 5TH AVE / SW CARUTHERS ST,15-154128,Property,No Measure Value,South Portland,05/09/15,2300,Larceny Offenses,Theft From Motor Vehicle,1
SW 5TH AVE / SW CARUTHERS ST,15-154128,Property,No Measure Value,South Portland,05/09/15,2300,Vandalism,Vandalism,1
5200 BLOCK OF SW MACADAM AVE,15-155549,Property,No Measure Value,South Portland,05/11/15,1700,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1
3300 BLOCK OF SW MOODY AVE,15-156553,Property,No Measure Value,South Portland,05/12/15,1540,Larceny Offenses,Theft From Motor Vehicle,1
7600 BLOCK OF SW KELLY AVE,15-156983,Property,No Measure Value,South Portland,05/12/15,2100,Motor Vehicle Theft,Motor Vehicle Theft,1
3700 BLOCK OF SW BOND AVE,15-157998,Person,No Measure Value,South Portland,05/13/15,2058,Assault Offenses,Simple Assault,1
0 BLOCK OF SW CONDOR WAY,15-158028,Property,No Measure Value,South Portland,05/13/15,1900,Motor Vehicle Theft,Motor Vehicle Theft,1
SW VIRGINIA AVE / SW TAYLORS FERRY RD,15-158770,Property,No Measure Value,South Portland,05/14/15,100,Larceny Offenses,Theft From Motor Vehicle,1
200 BLOCK OF SW NEBRASKA ST,15-159079,Property,No Measure Value,South Portland,05/14/15,100,Burglary,Burglary,1
4900 BLOCK OF SW LANDING DR,15-159907,Property,No Measure Value,South Portland,05/15/15,300,Vandalism,Vandalism,1
3600 BLOCK OF SW CORBETT AVE,15-160936,Property,No Measure Value,South Portland,05/15/15,1800,Motor Vehicle Theft,Motor Vehicle Theft,1
SW MACADAM AVE / SW CALIFORNIA ST,15-162194,Property,No Measure Value,South Portland,05/17/15,1330,Larceny Offenses,Theft From Motor Vehicle,1
400 BLOCK OF SW BOUNDARY ST,15-162952,Property,No Measure Value,South Portland,05/16/15,1400,Burglary,Burglary,1
5100 BLOCK OF SW MACADAM AVE,15-164176,Property,No Measure Value,South Portland,05/19/15,445,Burglary,Burglary,1
7500 BLOCK OF SW MACADAM AVE,15-164263,Property,No Measure Value,South Portland,05/19/15,650,Larceny Offenses,Theft From Motor Vehicle,1
7500 BLOCK OF SW MACADAM AVE,15-164263,Property,No Measure Value,South Portland,05/19/15,650,Vandalism,Vandalism,1
4600 BLOCK OF SW VIEW POINT TER,15-165510,Property,No Measure Value,South Portland,05/19/15,2200,Motor Vehicle Theft,Motor Vehicle Theft,1
5000 BLOCK OF SW VIEW POINT TER,15-167088,Property,No Measure Value,South Portland,05/20/15,2100,Larceny Offenses,Theft From Motor Vehicle,1
5200 BLOCK OF SW MACADAM AVE,15-171060,Property,No Measure Value,South Portland,05/24/15,1800,Larceny Offenses,Shoplifting,1
600 BLOCK OF SW IDAHO ST,15-172734,Property,No Measure Value,South Portland,05/23/15,1630,Burglary,Burglary,1
100 BLOCK OF SW MEADE ST,15-173214,Property,No Measure Value,South Portland,05/25/15,2130,Motor Vehicle Theft,Motor Vehicle Theft,1
3200 BLOCK OF SW CORBETT AVE,15-179989,Person,No Measure Value,South Portland,05/31/15,1700,Assault Offenses,Intimidation,1
200 BLOCK OF SW GAINES ST,15-181773,Property,No Measure Value,South Portland,06/01/15,1600,Motor Vehicle Theft,Motor Vehicle Theft,1
2900 BLOCK OF SW MOODY AVE,15-183983,Property,No Measure Value,South Portland,06/03/15,2116,Motor Vehicle Theft,Motor Vehicle Theft,1
SW CORBETT AVE / SW LOGAN ST,15-185635,Property,No Measure Value,South Portland,06/05/15,611,Larceny Offenses,All Other Larceny,1
3500 BLOCK OF SW CORBETT AVE,15-186226,Property,No Measure Value,South Portland,06/05/15,1628,Larceny Offenses,Shoplifting,1
6100 BLOCK OF SW MACADAM AVE,15-190883,Person,No Measure Value,South Portland,05/30/15,600,Assault Offenses,Intimidation,1
6000 BLOCK OF SW RIVERPOINT LN,15-191041,Person,No Measure Value,South Portland,06/09/15,1230,Assault Offenses,Intimidation,1
600 BLOCK OF SW NEVADA ST,15-193647,Property,No Measure Value,South Portland,06/10/15,2300,Burglary,Burglary,1
600 BLOCK OF SW NEVADA ST,15-193647,Property,No Measure Value,South Portland,06/10/15,2300,Larceny Offenses,All Other Larceny,1
4100 BLOCK OF SW CORBETT AVE,15-193793,Property,No Measure Value,South Portland,06/11/15,1137,Larceny Offenses,All Other Larceny,1
SW BROADWAY / SW 5TH AVE,15-201413,Person,No Measure Value,South Portland,06/17/15,1611,Assault Offenses,Aggravated Assault,1
2400 BLOCK OF SW 4TH AVE,15-208224,Person,No Measure Value,South Portland,06/22/15,2033,Assault Offenses,Simple Assault,1
